date,key_rate,usd_rub,eur_rub,cny_rub,inflation,oil_price,key_rate_lag1,usd_rub_lag1,oil_price_lag1,key_rate_lag7,usd_rub_lag7,oil_price_lag7,key_rate_lag30,usd_rub_lag30,oil_price_lag30,usd_rub_change_1d,key_rate_change_1d,oil_price_change_1d,usd_rub_change_7d,key_rate_change_7d,oil_price_change_7d,usd_rub_change_30d,key_rate_change_30d,oil_price_change_30d,usd_rub_ma30,oil_price_ma30,rate_spread,oil_spread
2020-01-01,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,
2021-11-01,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,
2022-04-01,,,,,17.8,,,,,,,,,,,,,,,,,,,,,,,
2022-05-01,,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,,,,,15.1,,,,,,,,,,,,,,,,,,,,,,,
2022-08-01,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,
