feature,importance
close_MA50_ratio,0.063166715
close,0.061012864
MA20,0.05974761
HL_range_pct,0.05871805
MA200,0.05780663
MA50,0.056840066
low,0.054335035
volume_MA20,0.0528542
close_MA200_ratio,0.05106095
volatility_30,0.046586916
MACD_signal,0.04621136
high,0.044289514
MACD,0.03963131
MACD_hist,0.039015938
open,0.03852535
momentum_10_ratio,0.03622415
close_MA20_ratio,0.036001984
volume_ratio,0.034388877
volume,0.032879587
RSI,0.028500846
position_in_range,0.022533258
CO_ratio,0.020331755
daily_return,0.019337041
